ORF,Xi
YOR289W,0.000125583
YOR288C,5.35656E-05
YOR287C,5.28125E-05
YOR286W,7.01342E-05
YOR285W,0.000965781
YOR284W,9.60227E-06
YOR283W,9.14099E-05
YOR281C,4.76348E-05
YOR280C,5.03649E-05
YOR279C,4.11391E-05
YOR278W,3.21017E-05
YOR276W,0.000227348
YOR275C,4.33985E-05
YOR274W,3.229E-05
YOR273C,5.93081E-06
YOR272W,7.07932E-05
YOR271C,9.49872E-05
YOR270C,0.000396706
YOR269W,7.53119E-06
YOR268C,0
YOR267C,0.000148459
YOR266W,2.25936E-05
YOR265W,5.88374E-05
YOR264W,7.36174E-05
YOR262W,3.71853E-05
YOR261C,0.000306802
YOR260W,8.35962E-05
YOR259C,0.000329866
YOR258W,1.76042E-05
YOR257W,0.000105343
YOR256C,8.71736E-05
YOR255W,5.64839E-07
YOR254C,0.000140551
YOR253W,4.76348E-05
YOR252W,5.72371E-05
YOR251C,0.00011165
YOR250C,5.0459E-05
YOR249C,2.25936E-05
YOR247W,0.000126806
YOR246C,2.68299E-05
YOR245C,8.72677E-05
YOR244W,6.91928E-05
YOR243C,5.90257E-05
YOR242C,1.31796E-06
YOR241W,6.10968E-05
YOR239W,0.000163427
YOR238W,2.57943E-05
YOR237W,6.57097E-05
YOR236W,2.32526E-05
YOR235W,0
YOR234C,0.000302095
YOR233W,3.12545E-05
YOR232W,0.000179148
YOR231W,4.21747E-05
YOR230W,0.00138075
YOR229W,2.12756E-05
YOR228C,3.67146E-05
YOR227W,0.000127936
YOR226C,6.13792E-05
YOR224C,0.000122194
YOR223W,8.76443E-05
YOR222W,4.27395E-05
YOR221C,5.18711E-05
YOR220W,0.000224147
YOR219C,4.6411E-05
YOR217W,0.000146482
YOR216C,4.53754E-05
YOR215C,0.000454225
YOR214C,1.8828E-07
YOR213C,1.71335E-05
YOR212W,1.62862E-05
YOR211C,8.0772E-05
YOR210W,9.88469E-05
YOR209C,0.000141775
YOR208W,4.82938E-05
YOR207C,0.000139986
YOR206W,0.000126242
YOR205C,1.83573E-05
YOR204W,0.000578396
YOR202W,8.76443E-05
YOR201C,3.21017E-05
YOR198C,0.000397835
YOR197W,0.000231302
YOR196C,7.91717E-05
YOR195W,0.000136409
YOR194C,8.84915E-05
YOR193W,2.38174E-05
YOR192C-A,0
YOR192C-B,0
YOR192C-C,0
YOR192C,9.41399E-07
YOR191W,0.000115604
YOR190W,7.53119E-07
YOR189W,5.12121E-05
YOR188W,5.68605E-05
YOR187W,0.000456861
YOR186W,4.33044E-06
YOR185C,0.000393976
YOR184W,0.000169923
YOR183W,1.31796E-06
YOR182C,0.000299365
YOR181W,8.72677E-05
YOR180C,9.95059E-05
YOR179C,1.96752E-05
YOR178C,0.000291363
YOR177C,1.53448E-05
YOR176W,0.000216804
YOR175C,6.98518E-05
YOR174W,3.03131E-05
YOR173W,0.000393411
YOR172W,1.39327E-05
YOR171C,9.64934E-05
YOR168W,0.000372041
YOR167C,0.000471076
YOR166C,1.751E-05
YOR165W,0.000135656
YOR164C,0.000123982
YOR163W,6.23206E-05
YOR162C,4.65051E-05
YOR161C-C,3.7656E-07
YOR161C,0.000164368
YOR160W,8.31255E-05
YOR159C,3.89739E-05
YOR158W,7.94541E-05
YOR157C,0.000224335
YOR156C,3.78442E-05
YOR155C,5.1118E-05
YOR154W,2.00518E-05
YOR153W,0.00018941
YOR152C,8.30314E-05
YOR151C,0.000344081
YOR150W,8.09603E-05
YOR149C,1.76983E-05
YOR148C,2.86185E-05
YOR147W,7.53119E-05
