ORF,Xi
YPL223C,0.005177279
YPL224C,3.44479E-05
YPL225W,0.000261984
YPL226W,0.000249953
YPL227C,2.45843E-05
YPL228W,0.000107229
YPL229W,5.0439E-05
YPL230W,0.00012068
YPL231W,0.003006909
YPL232W,0.000141603
YPL233W,2.66766E-05
YPL234C,0.000181281
YPL235W,0.00014362
YPL236C,2.60041E-05
YPL237W,0.000169699
YPL239W,7.4276E-05
YPL240C,0.00086755
YPL241C,8.96693E-06
YPL242C,5.94806E-05
YPL243W,0.000177246
YPL244C,1.15076E-05
YPL245W,1.24042E-05
YPL246C,7.01662E-05
YPL247C,6.38146E-05
YPL248C,1.91294E-05
YPL249C,0.000104838
YPL249C-A,0.000560433
YPL250C,4.57313E-05
YPL252C,3.27293E-05
YPL253C,1.68877E-05
YPL254W,4.59555E-05
YPL255W,8.21968E-06
YPL256C,3.4149E-05
YPL257W,2.83953E-05
YPL257W-A,0
YPL257W-B,0
YPL258C,3.88567E-06
YPL259C,5.58191E-05
YPL260W,0.000298748
YPL261C,1.56921E-06
YPL262W,0.000858658
YPL263C,2.99645E-05
YPL264C,1.28526E-05
YPL265W,0.000713468
YPL266W,3.80347E-05
YPL267W,2.6303E-05
YPL268W,1.61405E-05
YPL269W,5.8285E-06
YPL270W,6.35157E-05
YPL271W,0.00050282
YPL272C,0.001280178
YPL273W,4.52083E-05
YPL274W,3.72875E-05
YPL275W,3.73622E-07
YPL276W,1.34504E-05
YPL277C,8.81748E-06
YPL278C,0
YPL279C,4.48346E-07
YPL280W,7.47244E-08
YPL281C,2.24173E-07
YPL282C,5.97795E-07
YPL283C,0
YOR396W,0
YOR394C-A,0
YOR394W,7.47244E-08
YOR393W,7.47244E-08
YOR391C,5.30543E-06
YOR390W,6.72519E-07
YOR389W,5.75378E-06
YOR388C,1.07603E-05
YOR387C,0
YOR386W,2.89931E-05
YOR385W,3.46721E-05
YOR384W,7.47244E-08
YOR383C,2.15206E-05
YOR382W,3.15337E-05
YOR381W-A,7.47244E-08
YOR381W,8.96693E-07
YOR380W,7.77134E-06
YOR378W,1.94283E-06
YOR377W,8.21968E-07
YOR376W-A,0
YOR376W,0
YOR375C,0.000593835
YOR374W,0.021477655
YOR373W,2.72744E-05
YOR372C,7.10629E-05
YOR371C,4.37138E-05
YOR370C,8.96693E-05
YOR369C,0.00118879
YOR368W,2.1147E-05
YOR367W,6.05267E-05
YOR365C,3.28787E-06
YOR363C,4.40874E-05
YOR362C,0.000211022
YOR361C,0.000326994
YOR360C,2.35382E-05
YOR359W,3.02634E-05
YOR358W,1.9802E-05
YOR357C,4.9617E-05
YOR356W,0.000196376
YOR355W,0.000270801
YOR354C,5.24565E-05
YOR353C,4.61049E-05
YOR352W,4.58808E-05
YOR351C,9.71417E-07
YOR350C,3.63908E-05
YOR349W,4.48346E-06
YOR348C,0.000508948
YOR347C,9.43769E-05
YOR346W,3.93797E-05
YOR344C,0.000269381
YOR343W-A,0
YOR343W-B,1.49449E-07
YOR343C,1.49449E-07
YOR342C,2.92172E-05
YOR341W,0.000189426
YOR340C,8.31682E-05
YOR339C,3.43732E-06
YOR338W,3.96786E-05
YOR337W,2.24173E-05
YOR336W,7.24826E-05
YOR335C,0.000490192
YOR334W,9.34055E-06
YOR332W,0.000640612
YOR330C,4.15468E-05
YOR329C,7.24826E-05
YOR328W,5.75378E-05
YOR327C,0.000144816
YOR326W,0.000158789
YOR324C,8.07771E-05
YOR323C,0.000268036
YOR322C,5.86586E-05
YOR321W,6.32168E-05
YOR320C,6.09751E-05
YOR319W,1.44218E-05
YOR317W,0.00088937
YOR316C-A,1.49449E-07
YOR316C,0.000100803
YOR315W,1.77844E-05
YOR314W,2.98898E-07
YOR313C,4.48346E-07
YOR312C,0.000474425
YOR311C,2.29404E-05
YOR310C,0.000171044
YOR308C,3.3626E-05
YOR307C,3.34018E-05
YOR306C,0.00010708
YOR305W,1.34504E-05
YOR304C-A,1.11339E-05
YOR304W,7.35288E-05
YOR303W,0.000185541
YOR302W,7.91331E-05
YOR301W,2.20437E-05
YOR299W,2.4136E-05
YOR298C-A,0.000605267
YOR298W,1.71866E-06
YOR297C,2.94414E-05
YOR296W,2.57799E-05
YOR295W,1.20306E-05
YOR294W,9.04912E-05
YOR293C-A,0
YOR293W,0.000461797
YOR292C,1.47954E-05
YOR291W,4.58808E-05
YOR290C,0.000135401
YOR289W,9.81878E-05
YOR288C,3.65402E-05
YOR287C,3.46721E-05
YOR286W,5.02895E-05
YOR285W,0.000807621
YOR284W,1.65141E-05
YOR283W,8.89967E-05
YOR281C,4.10237E-05
YOR280C,5.46982E-05
YOR279C,3.16831E-05
YOR278W,2.91425E-05
YOR276W,0.000194956
YOR275C,3.73622E-05
YOR274W,3.4149E-05
YOR273C,2.61535E-06
YOR272W,6.2619E-05
YOR271C,0.00011246
YOR270C,0.000338427
YOR269W,6.35157E-06
YOR268C,7.47244E-08
YOR267C,9.00429E-05
YOR266W,1.80086E-05
YOR265W,4.76742E-05
YOR264W,7.71903E-05
YOR262W,3.31776E-05
YOR261C,0.00023172
YOR260W,7.57705E-05
YOR259C,0.000237848
YOR258W,1.63646E-05
YOR257W,6.14982E-05
YOR256C,6.643E-05
YOR255W,7.47244E-08
YOR254C,0.000119933
YOR253W,5.38763E-05
YOR252W,3.95292E-05
YOR251C,9.03418E-05
YOR250C,3.45227E-05
YOR249C,1.80086E-05
YOR247W,0.000131365
YOR246C,2.06239E-05
YOR245C,6.02279E-05
YOR244W,4.70016E-05
YOR243C,5.2606E-05
YOR242C,1.71866E-06
YOR241W,5.84345E-05
YOR239W,0.00011119
YOR238W,2.04745E-05
YOR237W,0.000207211
YOR236W,1.94283E-05
YOR235W,0
YOR234C,0.00032677
YOR233W,2.847E-05
YOR232W,0.000125836
YOR231W,2.57052E-05
YOR230W,0.001529982
YOR229W,2.42854E-05
YOR228C,2.80216E-05
YOR227W,8.18232E-05
YOR226C,3.4971E-05
YOR224C,8.31682E-05
YOR223W,5.90323E-05
YOR222W,5.21576E-05
YOR221C,3.97534E-05
YOR220W,0.000170073
YOR219C,4.0127E-05
YOR217W,0.000118139
YOR216C,3.31776E-05
YOR215C,0.000336484
YOR214C,7.47244E-08
YOR213C,1.65888E-05
YOR212W,3.796E-05
YOR211C,7.06893E-05
YOR210W,7.1586E-05
YOR209C,0.000156548
YOR208W,3.82589E-05
YOR207C,0.000110293
YOR206W,9.50494E-05
YOR205C,1.24042E-05
YOR204W,0.000490042
YOR202W,5.44741E-05
YOR201C,2.42854E-05
YOR198C,0.00027917
YOR197W,0.000181506
YOR196C,6.2619E-05
YOR195W,8.7577E-05
YOR194C,5.11115E-05
YOR193W,1.55427E-05
YOR192C-A,0
YOR192C-B,0
YOR192C-C,0
YOR192C,5.23071E-07
YOR191W,7.63683E-05
YOR190W,1.12087E-06
YOR189W,3.33271E-05
YOR188W,3.84083E-05
YOR187W,0.000390734
YOR186W,5.90323E-06
YOR185C,0.000290528
YOR184W,0.000188829
YOR183W,6.72519E-07
YOR182C,0.000325275
YOR181W,6.29927E-05
YOR180C,0.000105137
YOR179C,1.82327E-05
YOR178C,0.00026557
YOR177C,2.09228E-05
YOR176W,0.000199888
YOR175C,6.17223E-05
YOR174W,2.49579E-05
YOR173W,0.000321315
YOR172W,1.33009E-05
YOR171C,8.2421E-05
YOR168W,0.000335214
YOR167C,0.000481599
YOR166C,1.72613E-05
YOR165W,0.00013159
YOR164C,9.81131E-05
YOR163W,6.61311E-05
YOR162C,4.25182E-05
YOR161C-C,2.24173E-07
YOR161C,0.000178517
YOR160W,6.38893E-05
YOR159C,2.78722E-05
YOR158W,5.22323E-05
YOR157C,0.000195479
YOR156C,2.85447E-05
YOR155C,4.94675E-05
YOR154W,1.41976E-05
YOR153W,0.000207734
YOR152C,5.91817E-05
YOR151C,0.000257425
YOR150W,4.84961E-05
YOR149C,1.53185E-05
YOR148C,2.40613E-05
YOR147W,5.2606E-05
YOR145C,0.00010043
YOR144C,1.68877E-05
YOR143C,2.09228E-05
YOR142W-A,0
YOR142W-B,0
YOR142W,0.000939809
YOR141C,0.000144069
YOR140W,4.0127E-05
YOR138C,8.39155E-05
YOR137C,7.69661E-06
YOR136W,0.000388417
YOR134W,5.50719E-05
YOR133W,5.07379E-05
YOR132W,7.9432E-05
YOR131C,4.87203E-05
YOR130C,1.65141E-05
YOR129C,8.5933E-06
YOR128C,0.000171044
YOR127W,3.15337E-05
YOR126C,3.76611E-05
YOR125C,4.87203E-05
YOR124C,0.000135475
YOR123C,9.80384E-05
YOR122C,0.000441621
YOR120W,0.000443938
YOR119C,2.58546E-05
YOR118W,4.19204E-05
YOR117W,0.000227087
YOR116C,0.000116645
YOR115C,2.2492E-05
YOR114W,1.898E-05
YOR113W,0.000137642
YOR112W,6.33663E-05
YOR111W,3.16831E-05
YOR110W,3.12348E-05
YOR109W,0.000108276
YOR108W,2.66019E-05
YOR107W,3.3626E-06
YOR106W,1.52438E-05
YOR105W,0
YOR104W,2.78722E-05
YOR103C,5.15598E-05
YOR101W,1.94283E-05
YOR100C,4.49094E-05
YOR099W,0.000206314
YOR098C,8.38408E-05
YOR097C,1.3002E-05
YOR096W,0.000893928
YOR095C,9.90845E-05
YOR094W,2.50327E-05
YOR093C,4.84214E-05
YOR092W,2.35382E-05
YOR091W,0.000103568
YOR090C,3.90061E-05
YOR089C,0.000127555
YOR087W,5.94059E-05
YOR086C,0.000236428
YOR085W,8.95198E-05
YOR084W,8.85484E-05
YOR083W,1.40482E-05
YOR081C,3.88567E-05
YOR080W,1.36746E-05
YOR079C,1.93536E-05
YOR078W,2.78722E-05
YOR077W,2.96656E-05
YOR076C,4.61049E-05
YOR075W,4.3639E-05
YOR074C,5.76125E-05
YOR073W,1.00878E-05
YOR072W-B,7.47244E-08
YOR072W,2.24173E-07
YOR071C,6.50102E-06
YOR070C,7.19596E-05
YOR068C,0
YOR069W,7.20343E-05
YOR067C,4.9617E-05
YOR066W,3.76611E-05
YOR065W,0.000535176
YOR064C,2.0325E-05
YOR063W,0.002938462
YOR062C,1.44218E-05
YOR061W,8.06276E-05
YOR060C,8.96693E-06
YOR059C,1.18065E-05
YOR058C,3.09359E-05
YOR057W,5.44741E-05
YOR056C,6.28432E-05
YOR054C,0.000105586
YOR052C,0.000196152
YOR051C,4.17709E-05
YOR049C,1.49449E-06
YOR048C,7.592E-05
YOR047C,3.51205E-06
YOR046C,0.00020594
YOR045W,8.24957E-05
YOR044W,1.44965E-05
YOR043W,7.65178E-05
YOR042W,0.000241659
YOR040W,0.000107155
YOR039W,8.66803E-05
YOR038C,4.05006E-05
YOR037W,2.17448E-05
YOR036W,9.30319E-05
YOR035C,9.90845E-05
YOR034C-A,0
YOR034C,9.5423E-05
YOR033C,1.11339E-05
YOR032W-A,0
YOR032C,4.40874E-06
YOR031W,1.30768E-05
YOR030W,1.77097E-05
YOR029W,0
YOR028C,4.83467E-05
YOR027W,0.001656042
YOR026W,1.12087E-05
YOR025W,3.20568E-05
YOR023C,6.09004E-05
YOR022C,2.87689E-05
YOR021C,8.1599E-05
YOR020W-A,9.88604E-05
YOR020C,0.000451784
YOR019W,2.1147E-05
YOR018W,5.7463E-05
YOR017W,1.90547E-05
YOR016C,7.50233E-05
YOR015W,2.98898E-07
YOR014W,0.000137493
YOR012W,6.65047E-06
YOR011W-A,1.71866E-06
YOR011W,1.50196E-05
YOR010C,1.94283E-06
YOR009W,4.64786E-05
YOR008C-A,2.98898E-07
YOR008C,0.000150271
YOR007C,0.000486232
YOR006C,4.13226E-05
YOR005C,2.95161E-05
YOR004W,2.01009E-05
YOR003W,3.69886E-05
YOR002W,6.62805E-05
YOR001W,8.71286E-05
YOL001W,1.52438E-05
YOL002C,4.65533E-05
YOL003C,2.1147E-05
YOL004W,0.000218868
YOL005C,8.26452E-05
YOL006C,9.67681E-05
YOL007C,3.10853E-05
YOL008W,2.5481E-05
YOL009C,1.63646E-05
YOL010W,4.745E-05
YOL011W,4.42368E-05
YOL012C,8.1599E-05
YOL013C,3.07864E-05
YOL013W-A,0
YOL014W,7.47244E-08
YOL015W,2.98898E-07
YOL016C,8.60825E-05
YOL017W,3.11601E-05
YOL018C,5.96301E-05
YOL019W,4.45357E-05
YOL019W-A,0
YOL020W,6.24696E-05
YOL021C,0.000136447
YOL022C,5.84345E-05
YOL023W,1.34504E-05
YOL024W,7.47244E-08
YOL025W,3.73622E-05
YOL026C,4.90939E-05
YOL027C,0.000185541
YOL028C,1.63646E-05
YOL029C,7.47244E-08
YOL030W,0.000282832
YOL031C,2.72744E-05
YOL032W,8.52605E-05
YOL033W,1.48702E-05
YOL034W,3.19073E-05
YOL036W,6.3441E-05
YOL038W,0.000200934
YOL038C-A,5.00653E-06
YOL039W,0.000812702
YOL040C,0.001331663
YOL041C,9.12385E-05
YOL042W,2.21931E-05
YOL043C,1.2479E-05
YOL044W,5.32785E-05
YOL045W,2.58546E-05
YOL047C,1.34504E-06
YOL048C,4.42368E-05
YOL049W,8.22715E-05
YOL051W,0.00021812
YOL052C,5.45488E-05
YOL052C-A,0.004163418
YOL053W,2.9815E-05
YOL054W,3.55688E-05
YOL055C,8.5933E-05
YOL056W,1.80833E-05
YOL057W,0.000110592
YOL058W,0.000200784
YOL059W,0.000209976
YOL060C,7.68914E-05
YOL061W,0.000156548
YOL062C,4.13973E-05
YOL063C,2.45843E-05
YOL064C,5.4773E-05
YOL065C,4.90939E-05
YOL066C,3.25051E-05
YOL067C,3.05623E-05
YOL068C,1.33757E-05
YOL069W,2.51821E-05
YOL070C,9.46758E-05
YOL071W,7.38277E-05
YOL072W,2.01756E-05
YOL073C,2.62283E-05
YOL075C,2.7125E-05
YOL076W,4.8795E-05
YOL077C,7.47991E-05
YOL077W-A,0.000219241
YOL078W,3.4971E-05
YOL080C,8.96693E-06
YOL081W,0.000140631
YOL082W,9.28824E-05
YOL083W,0.000112087
YOL084W,0.000162152
YOL085C,2.98898E-07
YOL086C,0.00275449
YOL086W-A,2.65272E-05
YOL087C,0.000110891
YOL088C,6.89706E-05
YOL089C,9.07154E-05
YOL090W,0.000103792
YOL091W,4.78236E-06
YOL092W,8.11507E-05
YOL093W,3.70633E-05
YOL094C,5.29796E-05
YOL095C,7.02409E-06
YOL096C,4.43116E-05
YOL097C,0.000111713
YOL097W-A,1.49449E-07
YOL098C,0.00011657
YOL100W,8.21221E-05
YOL101C,2.40613E-05
YOL102C,3.10853E-05
YOL103W,2.62283E-05
YOL103W-A,0
YOL103W-B,0
YOL104C,8.21968E-07
YOL105C,1.11339E-05
YOL107W,2.71997E-05
YOL108C,2.22679E-05
YOL109W,0.001559946
YOL110W,3.53446E-05
YOL111C,7.592E-05
YOL112W,1.90547E-05
YOL113W,2.45843E-05
YOL114C,3.58677E-06
YOL115W,2.7648E-05
YOL116W,1.92789E-05
YOL117W,3.84083E-05
YOL118C,1.79339E-06
YOL119C,4.94675E-05
YOL120C,0.00063725
YOL121C,0.000395143
YOL122C,0.000116719
YOL123W,0.000276929
YOL124C,2.71997E-05
YOL125W,2.04745E-05
YOL126C,0.001714626
YOL127W,0.001385838
YOL128C,1.2479E-05
YOL129W,0.000148851
YOL130W,6.74014E-05
YOL131W,2.39118E-06
YOL132W,1.49449E-06
YOL133W,4.1472E-05
YOL135C,2.03998E-05
YOL136C,8.81748E-06
YOL137W,3.6316E-05
YOL138C,4.10237E-05
YOL139C,0.000371305
YOL140W,1.84569E-05
YOL141W,2.4659E-05
YOL142W,4.83467E-05
YOL143C,0.000333121
YOL144W,2.44349E-05
YOL145C,0.000113955
YOL146W,3.89314E-05
YOL147C,0.000497515
YOL148C,3.00392E-05
YOL149W,4.20698E-05
YOL151W,0.000207061
YOL152W,5.5296E-06
YOL153C,1.44965E-05
YOL154W,1.34504E-06
YOL155C,0.002316979
YOL155W-A,0
YOL156W,2.98898E-07
YOL157C,4.78236E-06
YOL158C,2.61535E-06
YOL159C,1.53185E-05
YOL159C-A,6.94937E-06
YOL160W,0
YOL161C,1.49449E-07
YOL162W,7.47244E-08
YOL163W,7.47244E-07
YOL164W,4.85708E-06
YOL164W-A,2.98898E-07
YOL165C,0
YOL166W-A,0
YNR077C,0
YNR076W,0
YNR075C-A,0
YNR075W,4.85708E-06
YNR074C,9.41527E-06
YNR073C,1.12087E-06
YNR072W,7.47244E-08
YNR071C,3.28787E-06
YNR070W,2.31646E-06
YNR069C,3.66149E-06
YNR068C,1.49449E-07
YNR067C,0.000186138
YNR066C,7.47244E-06
YNR065C,1.49449E-07
YNR064C,2.29404E-05
YNR063W,1.21053E-05
YNR062C,4.48346E-07
YNR061C,4.08742E-05
YNR060W,1.41229E-05
YNR059W,5.67905E-06
YNR058W,1.17317E-05
YNR057C,1.35251E-05
YNR056C,1.56921E-05
YNR055C,1.48702E-05
