ORF,Xi
YPL155C,2.25868E-05
YPL156C,4.95494E-06
YPL157W,2.41312E-05
YPL158C,5.34747E-05
YPL159C,1.78893E-05
YPL160W,0.001057075
YPL161C,1.92406E-05
YPL162C,1.71814E-05
YPL163C,8.0566E-05
YPL164C,4.37579E-06
YPL165C,3.86099E-07
YPL166W,4.50449E-06
YPL167C,2.76704E-06
YPL168W,7.40023E-06
YPL169C,9.20847E-05
YPL170W,4.2664E-05
YPL171C,1.35135E-06
YPL172C,1.1776E-05
YPL173W,2.49677E-05
YPL174C,5.34104E-06
YPL175W,1.35778E-05
YPL176C,4.35649E-05
YPL177C,4.65893E-05
YPL178W,8.30113E-05
YPL179W,4.50449E-05
YPL180W,3.55211E-05
YPL181W,4.95494E-05
YPL183C,8.37835E-05
YPL183W-A,1.95624E-05
YPL184C,9.76831E-05
YPL186C,1.5444E-06
YPL187W,1.9305E-07
YPL188W,4.11196E-05
YPL189W,1.287E-06
YPL189C-A,1.287E-05
YPL190C,0.000147426
YPL191C,8.04373E-06
YPL192C,1.287E-07
YPL193W,1.9498E-05
YPL194W,8.88028E-06
YPL195W,6.9884E-05
YPL196W,1.83397E-05
YPL198W,0.000128828
YPL199C,9.88414E-05
YPL200W,0
YPL201C,1.287E-07
YPL202C,2.68982E-05
YPL203W,2.29729E-05
YPL204W,7.72198E-05
YPL206C,8.5521E-05
YPL207W,5.46974E-05
YPL208W,3.00514E-05
YPL209C,6.43499E-06
YPL210C,0.00013803
YPL211W,0.000154568
YPL212C,0.00011924
YPL213W,2.28442E-05
YPL214C,1.44144E-05
YPL215W,3.21106E-05
YPL216W,7.52893E-06
YPL217C,0.000174967
YPL218W,0.000367373
YPL219W,1.31274E-05
YPL220W,0.000253152
YPL221W,4.31788E-05
YPL222W,1.46074E-05
YPL223C,2.50964E-06
YPL224C,1.89832E-05
YPL225W,0.000226512
YPL226W,0.000542148
YPL227C,3.86743E-05
YPL228W,6.19689E-05
YPL229W,7.46458E-06
YPL230W,1.35135E-06
YPL231W,0.002671935
YPL232W,9.70396E-05
YPL233W,1.91119E-05
YPL234C,0.000237966
YPL235W,0.000186872
YPL236C,6.56369E-06
YPL237W,0.000456691
YPL239W,0.000120463
YPL240C,0.000855017
YPL241C,1.64736E-05
YPL242C,4.40153E-05
YPL243W,0.000141763
YPL244C,2.03989E-05
YPL245W,4.65893E-05
YPL246C,6.13898E-05
YPL247C,1.48648E-05
YPL248C,1.35135E-06
YPL249C,5.21877E-05
YPL249C-A,0.001358812
YPL250C,4.74902E-05
YPL252C,6.31272E-05
YPL253C,1.5444E-05
YPL254W,3.13384E-05
YPL255W,8.30113E-06
YPL256C,5.82366E-05
YPL257W,3.28184E-06
YPL257W-A,0
YPL257W-B,0
YPL258C,6.43499E-07
YPL259C,3.21106E-05
YPL260W,0.000107979
YPL261C,7.07849E-07
YPL262W,0.000334362
YPL263C,0.000152831
YPL264C,3.47489E-06
YPL265W,0.000264414
YPL266W,0.000124067
YPL267W,1.79536E-05
YPL268W,1.06177E-05
YPL269W,6.56369E-06
YPL270W,2.4646E-05
YPL271W,7.73485E-05
YPL272C,4.50449E-07
YPL273W,0.000140411
YPL274W,0.000267631
YPL275W,6.43499E-08
YPL276W,6.43499E-08
YPL277C,7.07849E-07
YPL278C,0
YPL279C,7.07849E-07
YPL280W,1.287E-07
YPL281C,7.72198E-07
YPL282C,0
YPL283C,0
YOR396W,0
YOR394C-A,0
YOR394W,0
YOR393W,0
YOR391C,0
YOR390W,5.14799E-07
YOR389W,1.99485E-06
YOR388C,0
