Protein,phi_calib
YDR016C,9.25858E-05
YDR017C,0.000117851
YDR019C,0.000237968
YDR023W,0.001143734
YDR028C,0.000272023
YDR031W,0.000190591
YDR032C,0.001768414
YDR033W,0.000387219
YDR035W,0.000622954
YDR036C,0.000502819
YDR037W,0.000589113
YDR041W,2.10562E-05
YDR044W,0.000113841
YDR050C,0.004751063
YDR051C,0.000103827
YDR054C,6.7523E-05
YDR055W,0.000604543
YDR060W,7.4604E-05
YDR062W,9.42098E-05
YDR063W,0.000408637
YDR064W,0.00275621
YDR068W,5.70952E-05
YDR070C,0.0005109
YDR071C,0.001554801
YDR074W,0.000372383
YDR076W,0
YDR083W,6.89141E-05
YDR084C,0.000104083
YDR086C,0.001603192
YDR087C,4.43948E-06
YDR091C,0.000210196
YDR092W,0.000100318
YDR098C,0.000321299
YDR099W,0.000378371
YDR101C,0.000400876
YDR116C,0.000108317
YDR117C,5.93689E-05
YDR119W,9.11647E-06
YDR120C,0.000112948
YDR121W,0.000289199
YDR127W,0.00055978
YDR129C,0.000696884
YDR135C,9.86685E-05
YDR138W,0
YDR141C,3.94385E-05
YDR143C,1.82539E-05
YDR145W,0.000161594
YDR148C,0.002790836
YDR150W,0.000133332
YDR152W,0.000117609
YDR153C,6.38862E-05
YDR155C,0.004042225
YDR156W,2.81218E-05
YDR158W,0.001049345
YDR165W,6.01373E-05
YDR167W,4.34741E-05
YDR168W,0.000447919
YDR169C,9.44788E-05
YDR170C,0.000121658
YDR172W,0.000283006
YDR174W,0.00047516
YDR175C,0.000205346
YDR176W,2.80426E-05
YDR177W,0.000212833
YDR178W,0.00195767
YDR182W,8.67263E-05
YDR183W,5.68572E-05
YDR188W,0.000226784
YDR189W,6.95161E-05
YDR190C,0.000447935
YDR194C,8.16598E-05
YDR201W,0.000217919
YDR211W,0.00015894
YDR212W,0.000330304
YDR214W,0.00023033
YDR221W,0.000115246
YDR224C,2.91403E-06
YDR226W,0.002227531
YDR227W,5.35223E-05
YDR231C,9.31118E-05
YDR232W,0.000190932
YDR233C,0.002554401
YDR234W,0.000153274
YDR235W,0
YDR236C,6.11111E-05
YDR238C,0.000385843
YDR239C,4.95188E-05
YDR243C,9.18843E-06
YDR246W,0
YDR248C,0.000109233
YDR257C,2.21777E-05
YDR258C,0.000759844
YDR262W,4.91444E-05
YDR264C,7.68521E-05
YDR266C,1.9484E-05
YDR267C,0
YDR268W,2.88042E-05
YDR272W,0.000102048
YDR280W,8.21885E-05
YDR287W,9.29005E-05
YDR289C,6.51959E-05
YDR292C,9.95868E-05
YDR293C,9.81125E-05
YDR294C,0.000118573
YDR296W,0.000168578
YDR298C,0.000968418
YDR299W,7.63185E-05
YDR300C,0.000101757
YDR303C,0
YDR304C,0.000347592
YDR312W,0
YDR320C,0.000120583
YDR321W,0.000100816
YDR322C-A,0.000828395
YDR322W,0.00017591
YDR324C,6.52897E-05
YDR328C,0.000419126
YDR330W,5.75064E-05
YDR333C,0
YDR337W,0.00012482
YDR341C,0.001103386
YDR346C,0.000285599
YDR347W,0.000156107
YDR348C,3.01071E-05
YDR353W,0.000339357
YDR354W,8.63995E-05
YDR356W,3.6346E-05
YDR358W,0.000127061
YDR361C,6.97633E-05
YDR363W-A,0.000274572
YDR365C,1.75244E-05
YDR367W,5.47597E-06
YDR368W,0.000868419
YDR376W,2.44933E-05
YDR377W,0.002152671
YDR378C,0.000470722
YDR380W,0.000639522
YDR381C-A,9.09378E-06
YDR381W,0.000839252
YDR382W,0.000402258
YDR384C,0.000730969
YDR388W,0.000241673
YDR389W,0
YDR390C,7.34093E-05
YDR394W,0.00022126
YDR395W,6.50006E-05
YDR397C,0.000125826
YDR398W,6.15895E-05
YDR399W,0.000127484
YDR404C,0.000135256
YDR405W,0.00013629
YDR408C,9.51568E-05
YDR411C,5.23951E-05
YDR416W,0
YDR422C,7.92293E-06
YDR425W,2.19411E-05
YDR427W,0.000335648
YDR428C,8.05812E-05
YDR429C,0.000494847
YDR430C,0.000203832
YDR432W,0.000614161
YDR434W,0
YDR441C,8.47782E-05
YDR449C,1.84348E-05
YDR452W,0.000155889
YDR453C,0.000253932
YDR454C,0.001404665
YDR457W,5.86385E-05
YDR461C-A,0.000126852
YDR462W,0.00011596
YDR469W,0.000138947
YDR470C,5.43315E-05
YDR472W,6.21725E-05
YDR477W,0.000289232
YDR481C,0.000165034
YDR483W,0.000186866
YDR486C,3.74939E-05
YDR487C,0.000534339
YDR496C,0.000106001
YDR500C,0.000493446
YDR502C,0.000686199
YDR508C,4.79054E-05
YDR510W,0.000809037
YDR513W,0.00186243
YDR515W,0.000102461
YDR516C,0.000312069
YDR517W,8.02736E-05
YDR518W,0.000237478
YDR519W,0.000542931
YDR524C,5.1788E-05
YDR525W-A,0.000128025
YDR529C,0.001730901
YDR531W,0.000200137
YDR533C,0.00076026
YEL002C,0.000400889
YEL007W,0.000121436
YEL012W,0
YEL013W,0.000167811
YEL015W,8.92201E-05
YEL018W,1.10323E-05
YEL020W-A,0.000497673
YEL021W,0
YEL024W,0.001193641
YEL026W,0.000265733
YEL030W,9.92876E-05
YEL031W,0.000221125
YEL032W,2.77168E-05
YEL034W,0.000531544
YEL037C,0.000255406
YEL038W,0.000161486
YEL040W,3.90345E-05
YEL042W,0.000101403
YEL044W,0.000134425
YEL046C,0.000113663
YEL047C,0.000982329
YEL050C,4.56099E-06
YEL051W,0.000403861
YEL052W,9.98169E-05
YEL055C,3.3625E-05
YEL056W,5.34112E-05
YEL058W,0.000293493
YEL060C,0.000693144
YEL066W,0.000765232
YEL071W,8.0282E-05
YER001W,0
YER002W,5.20278E-05
YER003C,0.001022145
YER004W,0.000298832
YER006W,0.000173057
YER007C-A,0.000281696
YER009W,0.000744773
YER010C,0.000197295
YER012W,0.000333038
YER014W,0.000398785
YER019C-A,5.47498E-05
YER019W,0
YER021W,0.000362659
YER023W,0.000483307
YER025W,0.000616973
YER029C,9.3982E-05
YER030W,9.17499E-05
YER031C,5.1242E-05
YER034W,1.98076E-05
YER036C,0.000416595
YER042W,0.000683908
YER043C,0.002213871
YER044C,0.000211571
YER048C,0.000381107
YER048W-A,0.000391939
YER049W,0.000161661
YER052C,0.000263222
YER055C,0.000124335
YER056C,0
YER057C,0.000458372
YER061C,5.93869E-05
YER062C,0.000127441
YER063W,0.000548356
YER067W,7.46051E-05
YER068W,6.06288E-05
YER069W,0.000219415
YER070W,0.000113431
YER072W,0.000315592
YER073W,0.000345399
YER074W-A,1.65401E-05
YER078C,0
YER079W,0.000120282
YER080W,0.000521701
YER081W,9.2828E-05
YER082C,7.42428E-05
YER083C,8.9651E-05
YER086W,0.00047272
YER088C,2.58019E-05
YER089C,0.000197229
YER090W,0.000680617
YER091C,0.000955675
YER092W,6.83163E-05
YER094C,0.000364943
YER099C,0.000247498
YER100W,0
YER101C,1.7971E-05
YER103W,0.000209241
YER105C,5.9035E-06
YER110C,0.000587424
YER112W,0.000255002
YER114C,0
YER120W,0.000114261
YER122C,0.00022128
YER123W,1.87037E-05
YER125W,0.001898814
YER131W,2.5274E-05
YER133W,0.000180521
YER134C,0.000159769
YER136W,0.000757869
YER139C,9.02802E-05
YER143W,8.87419E-05
YER145C,0
YER146W,0.000390592
YER148W,7.6316E-05
YER151C,0.000145482
YER152C,0.000168528
YER155C,7.54431E-05
YER156C,0.000286348
YER159C,5.2897E-05
YER161C,1.14752E-05
YER163C,0.000130795
YER164W,2.79816E-05
YER165W,0.001144635
YER166W,0
YER168C,0.000542923
YER174C,0.000140395
YER175C,0.000104849
YER176W,8.32656E-05
YER177W,0.00082357
YER178W,0.001058731
YER182W,6.28317E-05
YFL001W,3.20989E-05
YFL002C,0
YFL004W,0.000143132
YFL005W,0.000391628
YFL007W,2.5978E-05
YFL008W,8.85811E-05
YFL010C,0.000224923
YFL014W,0.003789124
YFL016C,0.000166832
YFL017C,0.000328614
YFL017W-A,2.43478E-05
YFL018C,0.00095444
YFL022C,0.000582663
YFL023W,4.45392E-05
YFL028C,0.000124421
YFL034C-A,4.72992E-05
YFL037W,0.001703474
YFL038C,0.000645335
YFL039C,0.007127092
YFL041W,0.000158212
YFL044C,3.02827E-05
YFL045C,0.001371807
YFL047W,0
YFL048C,0.000141764
YFR001W,0.000106453
YFR002W,6.95284E-05
YFR003C,0.000200757
YFR004W,0.000608531
YFR006W,0.000242257
YFR009W,0.000187644
YFR010W,0.000199762
YFR011C,0.00024665
YFR013W,1.74165E-05
YFR014C,0.000121562
YFR016C,5.75549E-05
YFR024C-A,0.000259765
YFR025C,0
YFR028C,5.01675E-05
YFR030W,5.99424E-05
YFR033C,0.000565407
YFR034C,3.37538E-06
YFR037C,0.000204392
YFR040W,4.10409E-05
YFR041C,0
YFR044C,0.002419506
YFR047C,0.000435629
YFR049W,6.92432E-06
YFR050C,0.00023408
YFR051C,0.000292021
YFR052W,0.000186263
YFR053C,0.003540886
YGL001C,0.000134559
YGL005C,0
YGL008C,0.000486961
YGL009C,0.000376794
YGL011C,0.000364508
YGL014W,7.00842E-05
YGL016W,0
YGL018C,0
YGL019W,0.000155897
YGL020C,1.07974E-05
YGL022W,5.40571E-05
YGL023C,0
YGL025C,2.88663E-06
YGL026C,0.00059924
YGL027C,0.000145019
YGL028C,5.70084E-05
YGL030W,0.001476888
YGL031C,0.000149649
YGL035C,0.00011522
YGL037C,0.000861486
YGL038C,0
YGL039W,6.52593E-05
YGL040C,0.000436622
YGL043W,0.000108964
YGL048C,0.000353067
YGL049C,0.000109812
YGL050W,5.07712E-05
YGL054C,2.85993E-05
YGL055W,0.000154703
YGL056C,0.000111015
YGL061C,3.28503E-06
YGL062W,0.000471045
YGL063W,0
YGL066W,0
YGL067W,9.21913E-05
YGL068W,0.000538825
YGL070C,0.000134596
YGL073W,0
YGL076C,0.003276907
YGL078C,0.000208792
YGL082W,6.42461E-05
YGL084C,9.59096E-05
YGL087C,0.000259618
YGL092W,6.98614E-05
YGL097W,0.000132203
YGL099W,0.000150859
YGL100W,0.000146975
YGL101W,0
YGL103W,0.002329145
YGL105W,0.001253314
YGL106W,0.000593441
YGL108C,5.07646E-05
YGL111W,7.60919E-05
YGL112C,0.000127633
YGL115W,0.000223563
YGL117W,1.16301E-05
YGL119W,0
YGL120C,9.96382E-05
YGL122C,9.14178E-05
YGL123W,0.00224426
YGL125W,0.000109163
YGL129C,0.000180387
YGL130W,7.8382E-05
YGL137W,0.000342612
YGL141W,3.2844E-05
YGL145W,0.000202456
YGL147C,0.000162447
YGL148W,0.000383511
YGL150C,0
YGL153W,6.55354E-05
YGL157W,2.75965E-05
YGL164C,0.004164478
YGL167C,0.000116335
YGL171W,5.64925E-05
YGL173C,0.000176792
YGL174W,2.71137E-05
YGL181W,2.12921E-05
YGL184C,0
YGL185C,0
YGL187C,0.001216627
YGL189C,5.44236E-05
YGL190C,7.72808E-05
YGL191W,0.000249261
YGL195W,0.000239689
YGL196W,1.72125E-05
YGL198W,0.000110662
YGL200C,0.000244234
YGL201C,8.26439E-05
YGL202W,0.000961722
YGL206C,0.000553027
YGL207W,0.00020501
YGL210W,9.93683E-05
YGL213C,0.000126879
YGL220W,0.000155033
YGL221C,0.00020406
YGL226C-A,0
YGL228W,0.000162975
YGL231C,0.000103072
YGL232W,8.86152E-05
YGL234W,0.00096229
YGL238W,9.57784E-05
YGL242C,0.000261891
YGL244W,0.000188276
YGL245W,0.001032479
YGL246C,0.000106866
YGL248W,8.66451E-05
