Protein,phi_calib
YDL153C,8.11105E-05
YDL157C,0
YDL160C,0.000596925
YDL161W,0.000115048
YDL164C,9.1944E-05
YDL165W,0.000185394
YDL166C,9.66079E-05
YDL167C,0
YDL168W,0.000421737
YDL171C,9.9754E-05
YDL173W,0.000127892
YDL174C,0.000354304
YDL178W,0.000337644
YDL181W,0.002065082
YDL182W,0.00028998
YDL185W,0.00153366
YDL189W,0
YDL190C,0.000613274
YDL192W,0.000309094
YDL195W,0.00038904
YDL198C,0.000122077
YDL199C,0.0002165
YDL201W,0.000122505
YDL202W,3.1717E-05
YDL203C,0
YDL204W,0.000142658
YDL205C,9.37438E-05
YDL208W,0.000151479
YDL211C,1.44427E-05
YDL212W,6.01372E-05
YDL213C,0.000222448
YDL215C,0.00058214
YDL217C,4.59942E-05
YDL219W,9.95714E-05
YDL223C,0.000559563
YDL224C,4.25075E-05
YDL225W,0.000151482
YDL226C,0.000163279
YDL229W,0.002409376
YDL235C,0.000217766
YDL236W,0.000140708
YDL237W,9.23019E-05
YDR001C,0.000623642
YDR002W,0.000286307
YDR005C,4.38193E-05
YDR007W,8.95689E-06
YDR011W,5.89493E-05
YDR012W,5.84367E-05
YDR016C,0.000118864
YDR017C,5.92468E-05
YDR019C,0.000154642
YDR023W,0.00110159
YDR028C,0.000270608
YDR031W,0.000220852
YDR032C,0.002719639
YDR033W,0.000362967
YDR035W,0.000838499
YDR036C,0.000430834
YDR037W,0.000515474
YDR041W,7.47926E-05
YDR044W,9.91195E-05
YDR050C,0.00546913
YDR051C,9.08033E-05
YDR054C,7.10491E-05
YDR055W,0.000507647
YDR060W,9.3513E-05
YDR062W,0.00010826
YDR063W,0.000389853
YDR064W,0.002514125
YDR068W,4.5632E-05
YDR070C,0.001012649
YDR071C,0.001345659
YDR074W,0.000469454
YDR076W,8.38783E-06
YDR083W,6.62346E-05
YDR084C,9.29898E-05
YDR086C,0.001414171
YDR087C,8.173E-06
YDR091C,0.000230032
YDR092W,0.000154957
YDR098C,0.000369481
YDR099W,0.000614424
YDR101C,0.000362045
YDR116C,9.05652E-05
YDR117C,5.69981E-05
YDR119W,0
YDR120C,0.000121778
YDR121W,0.000179873
YDR127W,0.000548571
YDR129C,0.000809268
YDR135C,8.35885E-05
YDR138W,6.9519E-05
YDR141C,5.32155E-05
YDR143C,2.00597E-05
YDR145W,0.000137505
YDR148C,0.00167495
YDR150W,0.000115633
YDR152W,0.000115217
YDR153C,5.69029E-05
YDR155C,0.004462922
YDR156W,2.33992E-05
YDR158W,0.0009458
YDR165W,6.33431E-05
YDR167W,4.08709E-05
YDR168W,0.000491495
YDR169C,5.85071E-05
YDR170C,0.000111765
YDR172W,0.000276836
YDR174W,0.000415069
YDR175C,0.000175162
YDR176W,1.13397E-05
YDR177W,0.000280456
YDR178W,0.001181257
YDR182W,2.73471E-05
YDR183W,4.01774E-05
YDR188W,0.000277417
YDR189W,7.19546E-05
YDR190C,0.000441217
YDR194C,0.000104678
YDR201W,0.00011123
YDR211W,0.000187552
YDR212W,0.000350016
YDR214W,0.00026666
YDR221W,0.000110061
YDR224C,5.26079E-06
YDR226W,0.002096928
YDR227W,4.59049E-05
YDR231C,9.79463E-05
YDR232W,0.000112336
YDR233C,0.002326949
YDR234W,9.47221E-05
YDR235W,1.76323E-05
YDR236C,4.78749E-05
YDR238C,0.000378792
YDR239C,3.69781E-05
YDR243C,0
YDR246W,1.57802E-05
YDR248C,3.99244E-05
YDR257C,3.98541E-05
YDR258C,0.000861643
YDR262W,0.000155556
YDR264C,8.03988E-05
YDR266C,0
YDR267C,0
YDR268W,1.72374E-05
YDR272W,0.000104625
YDR280W,6.66759E-05
YDR287W,8.24162E-05
YDR289C,7.31401E-05
YDR292C,8.90472E-05
YDR293C,0.000130976
YDR294C,0.000122585
YDR296W,0.000174018
YDR298C,0.000785527
YDR299W,7.26509E-05
YDR300C,0.000116625
YDR303C,0
YDR304C,0.000573302
YDR312W,0
YDR320C,0.00011319
YDR321W,0.000111465
YDR322C-A,0.000509793
YDR322W,0.000186779
YDR324C,6.87349E-05
YDR328C,0.00053979
YDR330W,7.26433E-05
YDR333C,1.26871E-05
YDR337W,0.000114323
YDR341C,0.001183138
YDR346C,0.00028592
YDR347W,0.000157762
YDR348C,3.53777E-05
YDR353W,0.000322751
YDR354W,7.11335E-05
YDR356W,3.71731E-05
YDR358W,0.000172172
YDR361C,7.03852E-05
YDR363W-A,0.000302061
YDR365C,2.56491E-05
YDR367W,6.28005E-06
YDR368W,0.00098875
YDR376W,5.91671E-05
YDR377W,0.001321124
YDR378C,0.000391016
YDR380W,0.00028437
YDR381C-A,1.38113E-05
YDR381W,0.000774728
YDR382W,0.000593633
YDR384C,0.000963394
YDR388W,0.000225135
YDR389W,8.97179E-06
YDR390C,9.6102E-05
YDR394W,0.000241269
YDR395W,6.46771E-05
YDR397C,0.000109561
YDR398W,5.47243E-05
YDR399W,0.000173196
YDR404C,0.000135288
YDR405W,0.000114913
YDR408C,0.000114338
YDR411C,6.50097E-05
YDR416W,0
YDR422C,0
YDR425W,6.14285E-05
YDR427W,0.000394924
YDR428C,6.41054E-05
YDR429C,0.000538271
YDR430C,0.000228789
YDR432W,0.000659019
YDR434W,6.51156E-06
YDR441C,9.56771E-05
YDR449C,3.25699E-05
YDR452W,0.000147831
YDR453C,0.000416348
YDR454C,0.000951753
YDR457W,5.19308E-05
YDR461C-A,0.000129506
YDR462W,0.000139262
YDR469W,0.000148359
YDR470C,4.68346E-05
YDR472W,4.671E-05
YDR477W,0.00030323
YDR481C,0.000172686
YDR483W,0.000160749
YDR486C,8.14552E-05
YDR487C,0.00048483
YDR496C,0.000137119
YDR500C,0.000344844
YDR502C,0.000408946
YDR508C,3.75022E-05
YDR510W,0.00102156
YDR513W,0.001967551
YDR515W,0.000112164
YDR516C,0.000503386
YDR517W,7.44703E-05
YDR518W,0.000281812
YDR519W,0.00059864
YDR524C,2.90066E-05
YDR525W-A,0.000100551
YDR529C,0.001237552
YDR531W,0.000150214
YDR533C,0.001112131
YEL002C,0.000397371
YEL007W,0.000112314
YEL012W,3.61642E-05
YEL013W,0.000239968
YEL015W,8.91978E-05
YEL018W,1.53073E-06
YEL020W-A,0.000372925
YEL021W,3.68278E-05
YEL024W,0.000932192
YEL026W,0.000293722
YEL030W,0.000245537
YEL031W,0.000234664
YEL032W,4.03295E-05
YEL034W,0.000493621
YEL037C,0.000234535
YEL038W,0.000175323
YEL040W,3.01293E-05
YEL042W,6.21286E-05
YEL044W,0.000100629
YEL046C,8.92715E-05
YEL047C,0.000905065
YEL050C,1.50813E-05
YEL051W,0.000399232
YEL052W,0.000105862
YEL055C,4.04826E-05
YEL056W,6.4086E-05
YEL058W,0.000255379
YEL060C,0.001625533
YEL066W,0.000616651
YEL071W,0.00012747
YER001W,7.01746E-06
YER002W,4.64281E-05
YER003C,0.000934934
YER004W,0.000284192
YER006W,0.000169453
YER007C-A,0.00036867
YER009W,0.001606229
YER010C,0.000166765
YER012W,0.000370501
YER014W,0.000424014
YER019C-A,5.64408E-05
YER019W,8.21189E-06
YER021W,0.00040647
YER023W,0.000482475
YER025W,0.000598116
YER029C,0.000101883
YER030W,0.000118945
YER031C,6.51113E-05
YER034W,1.69955E-05
YER036C,0.000401796
YER042W,0.000675011
YER043C,0.001917399
YER044C,0.000283821
YER048C,0.00034859
YER048W-A,0.000576269
YER049W,0.000159904
YER052C,0.000261381
YER055C,0.000104667
YER056C,0
YER057C,0.000658649
YER061C,2.45492E-05
YER062C,0.000134822
YER063W,0.000501222
YER067W,0.000329035
YER068W,7.00325E-05
YER069W,0.000150087
YER070W,7.91334E-05
YER072W,0.000222978
YER073W,0.000373973
YER074W-A,1.40128E-05
YER078C,0
YER079W,9.61492E-05
YER080W,0.000641933
YER081W,0.000126087
YER082C,5.95667E-05
YER083C,5.39196E-05
YER086W,0.000458155
YER088C,1.02766E-05
YER089C,0.000141043
YER090W,0.000634113
YER091C,0.000734015
YER092W,6.08046E-05
YER094C,0.000356043
YER099C,0.000265045
YER100W,3.33867E-06
YER101C,0.000121696
YER103W,0.000167092
YER105C,2.07943E-05
YER110C,0.000539856
YER112W,0.000219491
YER114C,1.43398E-05
YER120W,0.000230677
YER122C,0.000192434
YER123W,0
YER125W,0.0016023
YER131W,2.22564E-05
YER133W,0.000258547
YER134C,0.000118369
YER136W,0.000900966
YER139C,6.43442E-05
YER143W,0.000137891
YER145C,5.80766E-06
YER146W,0.000299888
YER148W,6.60162E-05
YER151C,0.000138448
YER152C,0.000125007
YER155C,6.65123E-05
YER156C,0.000272552
YER159C,8.21188E-05
YER161C,5.75055E-06
YER163C,0.00013786
YER164W,2.67999E-05
YER165W,0.001075037
YER166W,3.14023E-05
YER168C,0.000809691
YER174C,2.20938E-05
YER175C,9.56071E-05
YER176W,8.7969E-05
YER177W,0.001008261
YER178W,0.00137908
YER182W,7.55992E-05
YFL001W,2.33217E-05
YFL002C,1.96863E-05
YFL004W,0.000122383
YFL005W,0.000532158
YFL007W,4.51672E-05
YFL008W,9.55337E-05
YFL010C,0.000153082
YFL014W,0.010729476
YFL016C,0.000181842
YFL017C,0.000280659
YFL017W-A,4.23568E-06
YFL018C,0.001016248
YFL022C,0.000543133
YFL023W,5.45257E-05
YFL028C,0.000109807
YFL034C-A,0.000139182
YFL037W,0.001688657
YFL038C,0.000776374
YFL039C,0.007432883
YFL041W,0.000165644
YFL044C,5.69715E-05
YFL045C,0.001061923
YFL047W,0
YFL048C,0.000180328
YFR001W,7.37201E-05
YFR002W,7.80716E-05
YFR003C,0.000148791
YFR004W,0.000602044
YFR006W,0.000283542
YFR009W,0.000220484
YFR010W,0.0002391
YFR011C,0.000161109
YFR013W,4.93991E-05
YFR014C,0.000206016
YFR016C,5.32383E-05
YFR024C-A,0.000243587
YFR025C,8.58533E-06
YFR028C,5.38549E-05
YFR030W,3.35174E-05
YFR033C,0.000317515
YFR034C,3.00143E-06
YFR037C,0.000225355
YFR040W,5.46495E-05
YFR041C,6.55391E-05
YFR044C,0.002263682
YFR047C,0.000249657
YFR049W,0
YFR050C,0.000293305
YFR051C,0.000302085
YFR052W,0.000239054
YFR053C,0.006036787
YGL001C,0.000101124
YGL005C,1.29179E-05
YGL008C,0.000385343
YGL009C,0.000321339
YGL011C,0.000377707
YGL014W,6.97465E-05
YGL016W,0
YGL018C,6.10333E-05
YGL019W,0.000103194
YGL020C,2.28449E-05
YGL022W,6.23135E-05
YGL023C,0
YGL025C,6.99E-06
YGL026C,0.00065646
YGL027C,0.000140152
YGL028C,5.23252E-05
YGL030W,0.001673914
YGL031C,0.000152509
YGL035C,4.37661E-05
YGL037C,0.001295682
YGL038C,5.85426E-06
YGL039W,5.83931E-05
YGL040C,0.000377745
YGL043W,0.000126348
YGL048C,0.000452475
YGL049C,7.78841E-05
YGL050W,3.21102E-05
YGL054C,6.61793E-05
YGL055W,0.0001592
YGL056C,0.000179249
YGL061C,3.12744E-05
YGL062W,0.00034111
YGL063W,0
YGL066W,0.000265342
YGL067W,8.69692E-05
YGL068W,0.00051551
YGL070C,0.000147027
YGL073W,1.04727E-05
YGL076C,0.002675489
YGL078C,0.000239701
YGL082W,7.05037E-05
YGL084C,0.000112109
YGL087C,0.000284763
YGL092W,6.49683E-05
YGL097W,0.000143553
YGL099W,0.000146072
YGL100W,0.000153031
YGL101W,2.35806E-05
YGL103W,0.001889823
YGL105W,0.001292794
YGL106W,0.000708718
YGL108C,8.53197E-05
YGL111W,9.13929E-05
YGL112C,0.000112235
YGL115W,0.000178733
YGL117W,3.83411E-06
YGL119W,4.74969E-05
YGL120C,0.000103566
YGL122C,9.871E-05
YGL123W,0.001884019
YGL125W,0.000102468
YGL129C,0.000177664
YGL130W,9.0218E-05
YGL137W,0.0003933
YGL141W,2.81446E-05
YGL145W,0.000107296
YGL147C,0.000152925
YGL148W,0.000373549
YGL150C,6.87453E-05
YGL153W,6.61708E-05
YGL157W,2.50164E-05
YGL164C,0.003991366
YGL167C,0.000125479
YGL171W,4.67686E-05
YGL173C,0.000162324
YGL174W,3.04374E-05
YGL181W,3.21309E-05
YGL184C,2.11074E-05
YGL185C,1.42069E-05
YGL187C,0.000816206
YGL189C,4.65248E-05
YGL190C,9.17998E-05
YGL191W,0.000213187
YGL195W,0.000270692
YGL196W,2.60029E-05
YGL198W,6.8424E-05
YGL200C,0.000269582
YGL201C,5.36052E-05
YGL202W,0.000866153
YGL206C,0.000609939
YGL207W,0.000234395
YGL210W,9.17507E-05
YGL213C,6.09889E-05
YGL220W,0.000163411
YGL221C,0.000200286
YGL226C-A,0
YGL228W,0.000201452
YGL231C,0.00014102
YGL232W,9.5688E-05
YGL234W,0.00082723
YGL238W,9.27497E-05
YGL242C,0.000212836
YGL244W,0.000175265
YGL245W,0.001221771
YGL246C,0.000119171
YGL248W,9.40788E-05
YGL252C,0.000140856
YGL253W,0.003998458
YGL255W,0
YGR001C,0.000192013
YGR005C,7.07855E-05
YGR008C,4.27663E-05
YGR009C,4.04998E-05
YGR012W,6.46304E-05
YGR017W,6.80802E-05
YGR019W,0.000567661
YGR020C,0.000402031
YGR028W,0
YGR029W,9.21978E-05
YGR031W,3.54612E-05
YGR034W,0.000613398
YGR037C,0.00119845
YGR043C,0.000979982
YGR048W,0.00028308
YGR054W,0.000151325
YGR055W,0
YGR061C,0.000416077
YGR063C,9.12066E-05
YGR070W,0
YGR076C,9.13773E-05
YGR078C,9.4705E-05
YGR080W,0.000302199
YGR081C,2.90044E-05
YGR082W,0.000398203
YGR083C,7.75147E-05
YGR084C,6.51876E-05
YGR086C,0.003142247
YGR087C,6.81145E-05
YGR090W,6.73573E-05
YGR092W,0
YGR094W,0.000427634
YGR095C,0.000158216
YGR098C,4.89286E-06
YGR103W,0.000106997
YGR104C,4.24537E-05
YGR106C,7.98365E-05
YGR111W,6.70291E-05
YGR116W,0.000351429
YGR117C,0.000116941
YGR119C,0.0001931
YGR120C,0
YGR123C,8.16504E-05
YGR124W,0.000359561
YGR128C,8.2495E-05
YGR129W,6.3845E-06
YGR130C,0.000226105
YGR132C,0.000865215
YGR135W,0.000557258
YGR136W,9.92197E-05
YGR145W,6.45871E-05
YGR148C,0.000245434
YGR152C,9.41253E-05
YGR155W,0.000842736
YGR156W,4.23206E-05
YGR157W,7.31906E-05
YGR158C,7.44764E-05
YGR159C,0.000157955
YGR162W,0.000231161
YGR163W,7.38497E-05
YGR167W,0.000309415
YGR169C-A,0.000137613
YGR173W,0.000281107
YGR175C,0.000238051
YGR177C,1.55844E-05
YGR178C,0.000103071
YGR180C,0.003203767
YGR181W,0.000310043
YGR185C,0.000164628
YGR186W,8.08185E-05
YGR187C,0.000116304
YGR189C,0.00014953
YGR192C,0.002821331
YGR193C,0.000136928
YGR194C,0.000172909
YGR195W,8.14994E-05
YGR197C,3.95232E-05
YGR198W,0.000120101
YGR199W,0.00020958
YGR200C,0.000180104
YGR202C,0
YGR203W,0.000121092
YGR204W,0.000603704
YGR205W,0.000510315
YGR207C,0.000271713
YGR208W,6.30659E-05
YGR209C,0.001105742
YGR210C,6.97173E-05
YGR211W,0.000508744
YGR215W,9.07758E-05
YGR218W,0.00017739
YGR220C,7.06001E-05
YGR229C,0.000139097
YGR231C,0.000716483
YGR232W,0.000201947
YGR233C,5.30184E-05
YGR234W,0.001069467
YGR235C,0.000141992
YGR240C,0.000837067
YGR244C,0.000634967
YGR248W,0.000397033
YGR250C,0.000141992
YGR253C,0.000405232
YGR254W,0.014074683
YGR261C,7.32279E-05
YGR262C,1.08154E-05
YGR264C,0.000282884
YGR266W,0.000174695
YGR267C,7.98306E-05
YGR268C,4.07176E-05
YGR270W,1.74014E-05
YGR271W,1.54812E-05
YGR275W,6.23528E-05
YGR276C,0.000164857
