Protein,phi
YDR322C-A,0.000190587
YDR322W,0.000154718
YDR324C,0.00012142
YDR328C,0.000194864
YDR330W,6.89083E-05
YDR333C,0
YDR337W,8.55528E-05
YDR341C,0.001605097
YDR346C,0.00032922
YDR347W,0.000120091
YDR348C,3.60043E-05
YDR353W,0.000259438
YDR354W,7.86829E-05
YDR356W,8.22269E-05
YDR358W,0.00016961
YDR361C,4.7315E-05
YDR363W-A,5.85641E-05
YDR365C,2.63748E-05
YDR367W,2.90027E-06
YDR368W,0.000649336
YDR376W,2.89387E-05
YDR377W,0.000521056
YDR378C,9.70172E-05
YDR380W,0.000973227
YDR381C-A,2.48447E-06
YDR381W,0.000454555
YDR382W,0.000106043
YDR384C,0.000481745
YDR388W,0.000279165
YDR389W,0
YDR390C,0.000111891
YDR394W,0.000226951
YDR395W,0.000147053
YDR397C,4.40258E-05
YDR398W,9.4908E-05
YDR399W,6.75199E-05
YDR404C,5.54292E-05
YDR405W,8.59023E-05
YDR408C,4.88022E-05
YDR411C,4.28184E-05
YDR416W,0
YDR422C,1.54749E-05
YDR425W,3.28643E-05
YDR427W,0.000316127
YDR428C,5.04034E-05
YDR429C,0.000324943
YDR430C,0.00048312
YDR432W,0.000609352
YDR434W,0
YDR441C,3.67746E-05
YDR449C,1.94391E-05
YDR452W,0.000251802
YDR453C,0.000119278
YDR454C,0.000629506
YDR457W,0.000459251
YDR461C-A,2.43206E-05
YDR462W,4.08518E-05
YDR469W,5.82736E-05
YDR470C,6.53643E-05
YDR472W,4.21668E-05
YDR477W,0.000438768
YDR481C,0.000223859
YDR483W,0.000197942
YDR486C,2.0577E-05
YDR487C,0.000266358
YDR496C,0.000166648
YDR500C,0.000104066
YDR502C,0.00063149
YDR508C,7.61173E-05
YDR510W,0.000195828
YDR513W,0.000638265
YDR515W,0.000109762
YDR516C,0.000373944
YDR517W,7.15651E-05
YDR518W,0.000294238
YDR519W,0.000175656
YDR524C,5.98221E-05
YDR525W-A,2.42386E-05
YDR529C,0.000526819
YDR531W,0.000176027
YDR533C,0.000431813
YEL002C,0.000413121
YEL007W,0.000193823
YEL012W,0
YEL013W,0.000232453
YEL015W,0.000117815
YEL018W,7.3766E-06
YEL020W-A,0.000103764
YEL021W,0
YEL024W,0.000615032
YEL026W,8.02418E-05
YEL030W,0.000153238
YEL031W,0.000643872
YEL032W,6.44982E-05
YEL034W,0.000199997
YEL037C,0.000243613
YEL038W,8.78508E-05
YEL040W,4.36869E-05
YEL042W,0.000125882
YEL044W,5.34779E-05
YEL046C,0.000105418
YEL047C,0.001106471
YEL050C,4.29573E-06
YEL051W,0.000247775
YEL052W,0.000121761
YEL055C,8.23565E-05
YEL056W,5.13289E-05
YEL058W,0.000391776
YEL060C,0.00105483
YEL066W,0.00029526
YEL071W,9.54301E-05
YER001W,0
YER002W,2.88027E-05
YER003C,0.001050885
YER004W,0.000165434
YER006W,0.000215664
YER007C-A,0.000122192
YER009W,0.00022311
